epoch,time(s),train_loss,test_loss,test_acc(%)
001,00019,2.319241,3.20536,9.59
002,00019,2.076935,3.01088,20.13
003,00019,1.920518,2.61528,24.76
004,00019,1.721162,1.94882,34.24
005,00019,1.547153,1.82490,42.32
006,00019,1.212902,1.59527,51.90
007,00020,1.008861,1.11845,62.64
008,00019,0.921583,1.56668,54.71
009,00018,0.769517,0.96649,67.41
010,00019,0.818516,0.99471,65.98
011,00019,0.799992,0.77987,73.48
012,00018,0.713057,0.77161,73.94
013,00019,0.696659,0.77246,74.63
014,00019,0.661140,0.79793,75.21
015,00019,0.605359,0.76333,78.58
016,00018,0.640546,0.72732,78.83
017,00018,0.587059,0.77579,78.51
018,00019,0.620633,0.80933,75.55
019,00019,0.583964,0.76475,76.06
020,00019,0.560549,0.81777,74.75
021,00019,0.577036,0.84044,75.21
022,00020,0.605721,0.84725,72.28
023,00020,0.613666,0.83901,75.24
024,00019,0.563209,0.83814,77.35
025,00018,0.527280,0.72272,79.62
026,00018,0.565616,0.77574,79.19
027,00019,0.555165,0.76368,79.09
028,00019,0.557646,0.68273,81.90
029,00019,0.500833,0.81987,75.46
030,00020,0.522528,0.86150,76.96
031,00018,0.486566,0.79700,77.14
032,00018,0.546532,0.80826,79.32
033,00018,0.537887,0.70255,83.03
034,00018,0.587636,0.94404,73.92
035,00018,0.506506,0.83393,79.44
036,00018,0.531556,0.76980,82.11
037,00018,0.467903,0.74632,82.30
038,00019,0.523761,0.85346,75.44
039,00019,0.462329,0.74512,83.28
040,00019,0.502149,0.81893,78.98
041,00019,0.429318,0.73491,83.27
042,00019,0.560412,0.78954,83.70
043,00019,0.573731,0.74192,84.12
044,00019,0.517275,0.86606,80.00
045,00019,0.476192,0.74801,81.98
046,00018,0.536476,0.88153,77.60
047,00018,0.518598,0.82073,81.86
048,00018,0.467380,0.77527,81.70
049,00018,0.496326,0.81155,84.29
050,00018,0.523555,0.85176,79.24
051,00019,0.531288,0.78586,80.11
052,00019,0.486603,0.76298,81.05
053,00019,0.493995,0.85816,80.76
054,00019,0.443235,0.79667,81.29
055,00019,0.470749,0.90093,77.62
056,00019,0.449799,0.81801,78.84
057,00019,0.481314,0.86313,77.74
058,00019,0.438499,0.78262,82.19
059,00019,0.463117,0.81691,84.72
060,00018,0.531474,0.80054,81.64
061,00018,0.422542,0.80283,79.20
062,00019,0.422401,0.78808,84.61
063,00018,0.535254,0.95149,73.30
064,00019,0.475605,0.73311,83.42
065,00019,0.481761,0.91021,76.28
066,00019,0.506645,0.85459,80.34
067,00020,0.549474,0.87141,79.69
068,00020,0.432186,0.84678,83.26
069,00019,0.408948,0.80939,83.02
070,00019,0.475417,0.79177,84.26
071,00019,0.515065,0.78262,83.05
072,00019,0.544082,0.78211,81.83
073,00018,0.457183,0.97191,77.37
074,00018,0.533455,0.85774,79.96
075,00019,0.453395,0.79817,85.81
076,00018,0.500236,0.85780,80.45
077,00019,0.432695,0.84246,84.37
078,00018,0.436690,0.82004,83.48
079,00019,0.473005,0.82583,78.66
080,00021,0.396599,0.81200,77.87
081,00019,0.222913,0.64566,91.14
082,00019,0.185560,0.63267,91.73
083,00019,0.207476,0.64978,91.79
084,00019,0.175063,0.65273,92.20
085,00019,0.170343,0.67313,92.05
086,00019,0.161767,0.68824,92.13
087,00019,0.160348,0.71755,92.24
088,00019,0.166579,0.72493,92.39
089,00019,0.171932,0.73643,92.19
090,00019,0.129273,0.75851,92.37
091,00019,0.140756,0.75898,92.33
092,00020,0.143200,0.79787,92.63
093,00019,0.148721,0.80643,92.57
094,00019,0.165810,0.81964,92.30
095,00019,0.127453,0.81552,91.97
096,00019,0.135285,0.84608,92.76
097,00018,0.126203,0.87215,92.36
098,00019,0.168574,0.89013,92.13
099,00018,0.164707,0.89823,92.31
100,00019,0.123674,0.91784,92.37
101,00018,0.172137,0.92860,92.08
102,00018,0.113716,0.94742,92.44
103,00019,0.139503,0.98194,92.07
104,00019,0.140371,1.00259,92.68
105,00018,0.150743,1.00489,92.21
106,00019,0.109391,1.05982,92.27
107,00019,0.120721,1.06880,91.77
108,00018,0.122855,1.05857,92.39
109,00018,0.137178,1.05906,92.32
110,00019,0.131823,1.09038,91.58
111,00019,0.111856,1.08863,91.75
112,00018,0.143036,1.11442,91.90
113,00019,0.120899,1.14650,92.45
114,00019,0.141670,1.17458,91.55
115,00018,0.132490,1.14158,91.69
116,00018,0.126369,1.15702,92.04
117,00018,0.119606,1.16434,91.98
118,00019,0.148488,1.16524,91.89
119,00019,0.149841,1.17310,91.32
120,00019,0.136747,1.21603,91.65
121,00019,0.143502,1.21555,91.11
122,00018,0.103287,1.22014,92.16
123,00019,0.110281,1.25324,90.64
124,00019,0.149550,1.22427,92.14
125,00019,0.119852,1.21141,91.54
126,00019,0.143679,1.20945,90.61
127,00019,0.127961,1.25944,91.33
128,00019,0.162343,1.22598,92.13
129,00019,0.143663,1.26359,91.22
130,00019,0.121924,1.26874,92.17
131,00019,0.146405,1.26964,91.46
132,00018,0.109420,1.28039,92.10
133,00019,0.121155,1.25891,91.74
134,00019,0.109703,1.23853,91.71
135,00019,0.136947,1.27043,92.29
136,00018,0.126827,1.27133,92.05
137,00018,0.128841,1.29862,92.01
138,00018,0.158848,1.28615,91.62
139,00018,0.115640,1.28626,91.50
140,00018,0.160540,1.29974,91.51
141,00019,0.055936,1.26148,93.61
142,00019,0.063691,1.24168,93.89
143,00019,0.062326,1.23415,93.96
144,00021,0.038519,1.22176,93.94
145,00018,0.036791,1.21336,94.02
146,00018,0.038632,1.21580,94.20
147,00018,0.037225,1.21216,94.08
148,00018,0.034796,1.20313,94.19
149,00018,0.032614,1.20016,94.17
150,00018,0.036534,1.19835,94.21
151,00018,0.025867,1.19657,94.12
152,00018,0.030665,1.18430,94.22
153,00018,0.031621,1.18380,94.12
154,00018,0.026840,1.18726,94.36
155,00018,0.031140,1.18648,94.30
156,00018,0.031733,1.18218,94.20
157,00018,0.026454,1.18556,94.22
158,00018,0.029618,1.19033,94.30
159,00019,0.021467,1.17920,94.41
160,00018,0.017193,1.17365,94.43
161,00018,0.021017,1.17767,94.30
162,00018,0.015149,1.17839,94.42
163,00018,0.015933,1.18269,94.59
164,00018,0.020424,1.18038,94.53
165,00018,0.030175,1.17447,94.48
166,00020,0.015599,1.18003,94.39
167,00019,0.012931,1.18046,94.41
168,00018,0.013192,1.18345,94.46
169,00018,0.014724,1.18652,94.58
170,00018,0.016383,1.18612,94.68
171,00019,0.019068,1.18515,94.52
172,00019,0.023497,1.18870,94.63
173,00024,0.019639,1.18235,94.62
174,00020,0.011161,1.18836,94.33
175,00018,0.024119,1.18856,94.44
176,00018,0.012142,1.18012,94.63
177,00018,0.010863,1.19289,94.43
178,00018,0.008500,1.18008,94.59
179,00018,0.014555,1.19251,94.59
180,00018,0.013990,1.19045,94.57
181,00018,0.016552,1.19643,94.63
182,00018,0.024380,1.19352,94.54
183,00019,0.019927,1.19689,94.58
184,00018,0.014085,1.20464,94.47
185,00018,0.012427,1.19648,94.48
186,00018,0.011882,1.20121,94.63
187,00018,0.016883,1.19964,94.66
188,00018,0.010855,1.20670,94.48
189,00018,0.009157,1.21321,94.51
190,00018,0.015477,1.20879,94.46
191,00018,0.011326,1.21207,94.42
192,00019,0.013286,1.20534,94.52
193,00019,0.008325,1.20999,94.50
194,00019,0.015777,1.22038,94.60
195,00018,0.019990,1.22225,94.59
196,00018,0.015632,1.22198,94.46
197,00020,0.008054,1.22534,94.57
198,00018,0.018808,1.21018,94.43
199,00018,0.006924,1.21996,94.40
200,00018,0.010893,1.22181,94.50
